Run_ID,Training_Time,Gamma,Learning_Rate,Batch_Size,Memory_Size
84,11.830366134643555,0.9,0.001,16,5000
85,12.163214683532715,0.9,0.001,16,5000
86,11.824033498764038,0.9,0.001,16,5000
87,11.836490154266357,0.9,0.001,16,5000
88,12.205329418182373,0.9,0.001,16,5000
89,11.9995436668396,0.9,0.001,16,5000
90,11.987880229949951,0.9,0.001,16,5000
91,12.20962142944336,0.9,0.001,16,5000
92,11.839950561523438,0.9,0.001,16,5000
93,12.043744564056396,0.9,0.001,16,5000
94,12.190052270889282,0.9,0.001,16,5000
95,12.04920506477356,0.9,0.001,16,5000
96,11.921846866607666,0.9,0.001,16,5000
97,12.093867063522339,0.9,0.001,16,5000
98,12.277843713760376,0.9,0.001,16,5000
99,11.874205827713013,0.9,0.001,16,5000
100,12.224223613739014,0.9,0.001,16,5000
Average,11.984637112087674,0.9,0.001,16,5000
