Run_ID,Training_Time,Learning_Rate
1,12.244799137115479,0.0015
2,12.184101819992065,0.0015
3,12.109155654907227,0.0015
4,12.118722915649414,0.0015
5,12.174173593521118,0.0015
6,12.214510440826416,0.0015
7,12.27229642868042,0.0015
8,12.898552417755127,0.0015
9,12.60493516921997,0.0015
10,12.847537755966187,0.0015
11,14.094138622283936,0.0015
12,15.127516269683838,0.0015
13,14.987487077713013,0.0015
14,15.054978370666504,0.0015
15,14.352431535720825,0.0015
16,14.33281683921814,0.0015
17,14.676331520080566,0.0015
18,14.726834297180176,0.0015
19,15.813917636871338,0.0015
20,15.853928089141846,0.0015
21,15.947306871414185,0.0015
22,15.55212116241455,0.0015
23,15.738519430160522,0.0015
24,16.198447942733765,0.0015
25,17.79889178276062,0.0015
26,18.789118766784668,0.0015
27,14.771904706954956,0.0015
28,17.936344385147095,0.0015
29,20.438621044158936,0.0015
30,16.638872623443604,0.0015
Average,14.74997714360555,0.0015
1,14.525607824325562,0.0015
2,15.122803688049316,0.0015
3,15.531832218170166,0.0015
4,15.070019245147705,0.0015
5,14.737510681152344,0.0015
Average,14.785345370428903,0.0015
