Run_ID,Training_Time,Learning_Rate,Batch_Size,Memory_Size,Alpha,Beta_Start
1,35.179242849349976,0.0005,16,5000,0.6,0.4
2,37.51025676727295,0.0005,16,5000,0.6,0.4
3,36.1623592376709,0.0005,16,5000,0.6,0.4
4,36.46776270866394,0.0005,16,5000,0.6,0.4
5,38.013561725616455,0.0005,16,5000,0.6,0.4
6,43.836599588394165,0.0005,16,5000,0.6,0.4
7,36.95134925842285,0.0005,16,5000,0.6,0.4
8,37.11348509788513,0.0005,16,5000,0.6,0.4
9,40.16664457321167,0.0005,16,5000,0.6,0.4
10,38.4329559803009,0.0005,16,5000,0.6,0.4
11,37.69469165802002,0.0005,16,5000,0.6,0.4
12,36.5017466545105,0.0005,16,5000,0.6,0.4
13,36.238319635391235,0.0005,16,5000,0.6,0.4
14,43.6299614906311,0.0005,16,5000,0.6,0.4
15,40.873406648635864,0.0005,16,5000,0.6,0.4
16,38.62268662452698,0.0005,16,5000,0.6,0.4
17,46.24362349510193,0.0005,16,5000,0.6,0.4
18,55.96810960769653,0.0005,16,5000,0.6,0.4
19,42.48700284957886,0.0005,16,5000,0.6,0.4
20,41.2721381187439,0.0005,16,5000,0.6,0.4
21,40.57952523231506,0.0005,16,5000,0.6,0.4
22,38.419930934906006,0.0005,16,5000,0.6,0.4
23,36.14217233657837,0.0005,16,5000,0.6,0.4
24,37.56260395050049,0.0005,16,5000,0.6,0.4
25,44.987489461898804,0.0005,16,5000,0.6,0.4
26,51.83668923377991,0.0005,16,5000,0.6,0.4
27,42.01857876777649,0.0005,16,5000,0.6,0.4
28,39.444010972976685,0.0005,16,5000,0.6,0.4
29,40.547499895095825,0.0005,16,5000,0.6,0.4
30,39.05138325691223,0.0005,16,5000,0.6,0.4
Average,40.33185962041219,0.0005,16,5000,0.6,0.4
1,36.41201615333557,0.0005,16,5000,0.6,0.4
2,34.764612674713135,0.0005,16,5000,0.6,0.4
3,34.862476110458374,0.0005,16,5000,0.6,0.4
4,36.601043939590454,0.0005,16,5000,0.6,0.4
5,37.9164035320282,0.0005,16,5000,0.6,0.4
Average,39.72892402921404,0.0005,16,5000,0.6,0.4
