Run_ID,Training_Time,Gamma,Learning_Rate
1,15.378069162368774,0.99,0.001
2,15.084209203720093,0.99,0.001
3,15.445175647735596,0.99,0.001
4,15.873039960861206,0.99,0.001
5,16.067410707473755,0.99,0.001
6,15.953406810760498,0.99,0.001
7,15.823189973831177,0.99,0.001
8,16.7630033493042,0.99,0.001
9,14.676004648208618,0.99,0.001
10,15.610135555267334,0.99,0.001
11,15.718813419342041,0.99,0.001
12,15.621602058410645,0.99,0.001
13,16.220994234085083,0.99,0.001
14,16.396623849868774,0.99,0.001
15,17.974469900131226,0.99,0.001
16,15.811643362045288,0.99,0.001
17,15.370170831680298,0.99,0.001
18,14.56013560295105,0.99,0.001
19,15.2828049659729,0.99,0.001
20,16.793554306030273,0.99,0.001
21,15.944944381713867,0.99,0.001
22,15.63426685333252,0.99,0.001
23,16.687231063842773,0.99,0.001
24,17.31499433517456,0.99,0.001
25,15.696777820587158,0.99,0.001
26,15.416950702667236,0.99,0.001
27,16.116755962371826,0.99,0.001
28,17.046230792999268,0.99,0.001
29,15.111366510391235,0.99,0.001
30,19.81780505180359,0.99,0.001
Average,16.040392700831095,0.99,0.001
