Run_ID,Training_Time,Gamma,Learning_Rate,Batch_Size,Memory_Size
1,11.100697040557861,0.95,0.001,16,5000
2,11.12215518951416,0.95,0.001,16,5000
3,11.365874767303467,0.95,0.001,16,5000
4,11.232897520065308,0.95,0.001,16,5000
5,11.072898864746094,0.95,0.001,16,5000
Average,11.178904676437378,0.95,0.001,16,5000
1,11.451829671859741,0.95,0.001,16,5000
2,11.612140417098999,0.95,0.001,16,5000
3,11.358537912368774,0.95,0.001,16,5000
4,11.757307052612305,0.95,0.001,16,5000
5,12.499806880950928,0.95,0.001,16,5000
6,11.735318183898926,0.95,0.001,16,5000
7,11.90598440170288,0.95,0.001,16,5000
8,11.213934898376465,0.95,0.001,16,5000
9,12.102807998657227,0.95,0.001,16,5000
10,12.170596837997437,0.95,0.001,16,5000
11,12.001088619232178,0.95,0.001,16,5000
12,12.215152740478516,0.95,0.001,16,5000
13,11.828457832336426,0.95,0.001,16,5000
14,11.60071349143982,0.95,0.001,16,5000
15,11.499261379241943,0.95,0.001,16,5000
16,12.041056632995605,0.95,0.001,16,5000
17,11.135533809661865,0.95,0.001,16,5000
18,11.30150032043457,0.95,0.001,16,5000
19,11.49103569984436,0.95,0.001,16,5000
20,11.390472650527954,0.95,0.001,16,5000
21,11.519833087921143,0.95,0.001,16,5000
22,11.397425413131714,0.95,0.001,16,5000
23,11.507798910140991,0.95,0.001,16,5000
24,11.370173454284668,0.95,0.001,16,5000
25,11.458340644836426,0.95,0.001,16,5000
26,11.707008361816406,0.95,0.001,16,5000
27,11.548200607299805,0.95,0.001,16,5000
28,11.448503971099854,0.95,0.001,16,5000
29,11.999067544937134,0.95,0.001,16,5000
30,11.684363842010498,0.95,0.001,16,5000
Average,11.59565076146807,0.95,0.001,16,5000
1,12.04602313041687,0.95,0.001,16,5000
2,12.280073642730713,0.95,0.001,16,5000
3,12.8994779586792,0.95,0.001,16,5000
4,12.318639755249023,0.95,0.001,16,5000
5,12.076541900634766,0.95,0.001,16,5000
6,12.24358868598938,0.95,0.001,16,5000
7,12.199759721755981,0.95,0.001,16,5000
8,11.977941274642944,0.95,0.001,16,5000
9,12.241161823272705,0.95,0.001,16,5000
10,12.449144840240479,0.95,0.001,16,5000
11,12.336440324783325,0.95,0.001,16,5000
12,11.954578161239624,0.95,0.001,16,5000
13,12.461842775344849,0.95,0.001,16,5000
14,12.30058479309082,0.95,0.001,16,5000
15,12.838902235031128,0.95,0.001,16,5000
16,13.080521821975708,0.95,0.001,16,5000
