Run_ID,Training_Time,Learning_Rate,Batch_Size,Memory_Size
1,11.57037615776062,0.0005,16,5000
2,10.756203889846802,0.0005,16,5000
3,10.611666440963745,0.0005,16,5000
4,10.580504179000854,0.0005,16,5000
5,10.617614030838013,0.0005,16,5000
Average,10.827272939682008,0.0005,16,5000
1,11.393728256225586,0.0005,16,5000
2,11.017494678497314,0.0005,16,5000
3,11.030722856521606,0.0005,16,5000
4,10.849035739898682,0.0005,16,5000
5,10.765429258346558,0.0005,16,5000
6,10.745864629745483,0.0005,16,5000
7,11.005703687667847,0.0005,16,5000
8,11.037614822387695,0.0005,16,5000
9,10.82596731185913,0.0005,16,5000
10,10.89481806755066,0.0005,16,5000
11,10.423857927322388,0.0005,16,5000
12,10.44290828704834,0.0005,16,5000
13,10.64462685585022,0.0005,16,5000
14,10.428772687911987,0.0005,16,5000
15,10.917962789535522,0.0005,16,5000
16,10.265154123306274,0.0005,16,5000
17,10.153913021087646,0.0005,16,5000
18,10.343209743499756,0.0005,16,5000
19,10.36384105682373,0.0005,16,5000
20,10.526633501052856,0.0005,16,5000
21,11.452671766281128,0.0005,16,5000
22,12.222807168960571,0.0005,16,5000
23,11.730156183242798,0.0005,16,5000
24,11.6575448513031,0.0005,16,5000
25,12.946598291397095,0.0005,16,5000
26,12.671432971954346,0.0005,16,5000
27,12.523423433303833,0.0005,16,5000
28,11.858894348144531,0.0005,16,5000
29,12.115033388137817,0.0005,16,5000
30,12.785742998123169,0.0005,16,5000
Average,11.147940840039935,0.0005,16,5000
1,11.787756204605103,0.0005,16,5000
2,10.882723808288574,0.0005,16,5000
3,10.97071385383606,0.0005,16,5000
4,10.89931344985962,0.0005,16,5000
5,10.97923469543457,0.0005,16,5000
Average,11.14244178533554,0.0005,16,5000
