Run_ID,Training_Time,Learning_Rate
1,12.14530062675476,0.001
2,12.174933671951294,0.001
3,12.111560583114624,0.001
4,12.272737741470337,0.001
5,12.52921175956726,0.001
6,12.561026573181152,0.001
7,12.504483222961426,0.001
8,12.500358581542969,0.001
9,12.74814510345459,0.001
10,12.621981859207153,0.001
11,12.724032163619995,0.001
12,12.494881391525269,0.001
13,12.431835174560547,0.001
14,12.521071434020996,0.001
15,12.54440975189209,0.001
16,12.59200382232666,0.001
17,12.48021936416626,0.001
18,12.469958066940308,0.001
19,12.47683596611023,0.001
20,12.411662578582764,0.001
21,12.524893522262573,0.001
22,12.481440305709839,0.001
23,12.492068529129028,0.001
24,12.484938859939575,0.001
25,12.457009077072144,0.001
26,12.441988945007324,0.001
27,12.385758638381958,0.001
28,12.31842303276062,0.001
29,12.30521273612976,0.001
30,12.423546075820923,0.001
Average,12.454397638638815,0.001
1,14.197219371795654,0.001
2,14.047708988189697,0.001
3,14.661042928695679,0.001
4,14.875959396362305,0.001
5,15.630273580551147,0.001
Average,12.772689526421683,0.001
