Run_ID,Training_Time,Learning_Rate,Batch_Size,Memory_Size
1,10.6257004737854,0.0015,16,5000
2,10.606801271438599,0.0015,16,5000
3,10.517104148864746,0.0015,16,5000
4,10.61357307434082,0.0015,16,5000
5,10.535423755645752,0.0015,16,5000
Average,10.579720544815064,0.0015,16,5000
1,12.564336061477661,0.0015,16,5000
2,13.15695834159851,0.0015,16,5000
3,13.486623287200928,0.0015,16,5000
4,13.980014562606812,0.0015,16,5000
5,14.331161737442017,0.0015,16,5000
6,14.195051908493042,0.0015,16,5000
7,12.402479410171509,0.0015,16,5000
8,13.373644828796387,0.0015,16,5000
9,11.814090490341187,0.0015,16,5000
10,12.204063177108765,0.0015,16,5000
11,12.4656822681427,0.0015,16,5000
12,11.742120504379272,0.0015,16,5000
13,12.932498693466187,0.0015,16,5000
14,12.138138055801392,0.0015,16,5000
15,13.571892261505127,0.0015,16,5000
16,13.280676126480103,0.0015,16,5000
17,13.34551191329956,0.0015,16,5000
18,12.805499792098999,0.0015,16,5000
19,12.838195323944092,0.0015,16,5000
20,13.485240936279297,0.0015,16,5000
21,12.756577968597412,0.0015,16,5000
22,12.532553672790527,0.0015,16,5000
23,13.494362831115723,0.0015,16,5000
24,12.346228122711182,0.0015,16,5000
25,13.54505968093872,0.0015,16,5000
26,12.890034437179565,0.0015,16,5000
27,12.994318008422852,0.0015,16,5000
28,13.779284715652466,0.0015,16,5000
29,13.586176633834839,0.0015,16,5000
30,12.729247808456421,0.0015,16,5000
Average,12.676180750983102,0.0015,16,5000
1,10.827573776245117,0.0015,16,5000
2,10.795305252075195,0.0015,16,5000
3,10.745971441268921,0.0015,16,5000
4,10.378141164779663,0.0015,16,5000
5,10.748921632766724,0.0015,16,5000
Average,12.429055988788605,0.0015,16,5000
